faculty_full_name,year_id,num_external_grants
Guillermo Antonio Ameer,2015,
Guillermo Antonio Ameer,2016,
Guillermo Antonio Ameer,2017,
Guillermo Antonio Ameer,2018,
Guillermo Antonio Ameer,2019,
Guillermo Antonio Ameer,2020,
Guillermo Antonio Ameer,2021,
Hara Levy,2011,
Hara Levy,2012,
Hara Levy,2013,
Hara Levy,2014,
Hara Levy,2015,
Hara Levy,2016,
Hara Levy,2017,
Hara Levy,2018,
Hara Levy,2019,
Hara Levy,2020,
Hara Levy,2021,
Hongxin Dong,2013,
Hongxin Dong,2014,
Hongxin Dong,2015,
Hongxin Dong,2016,
Hongxin Dong,2017,
Hongxin Dong,2018,
Hongxin Dong,2019,
Hongxin Dong,2020,
Hongxin Dong,2021,
Hongxin Dong,2022,
Hongxin Dong,2023,
Inger E. Burnett-Zeigler,2013,
Inger E. Burnett-Zeigler,2014,
Inger E. Burnett-Zeigler,2015,
Inger E. Burnett-Zeigler,2016,
Inger E. Burnett-Zeigler,2017,
Inger E. Burnett-Zeigler,2018,
Inger E. Burnett-Zeigler,2019,
Inger E. Burnett-Zeigler,2020,
Inger E. Burnett-Zeigler,2021,
Inger E. Burnett-Zeigler,2022,
Inger E. Burnett-Zeigler,2023,
Isabelle Caroline Le Poole,2013,
Isabelle Caroline Le Poole,2014,
Isabelle Caroline Le Poole,2015,
Isabelle Caroline Le Poole,2016,
Isabelle Caroline Le Poole,2017,
Isabelle Caroline Le Poole,2018,
Isabelle Caroline Le Poole,2019,
Isabelle Caroline Le Poole,2020,
Isabelle Caroline Le Poole,2021,
Isabelle Caroline Le Poole,2022,
Isabelle Caroline Le Poole,2023,
Jane E. Wilcox,2014,
Jane E. Wilcox,2015,
Jane E. Wilcox,2016,
Jane E. Wilcox,2017,
Jane E. Wilcox,2018,
Jane E. Wilcox,2019,
Jane E. Wilcox,2020,
Jane E. Wilcox,2021,
Jane E. Wilcox,2022,
Jane E. Wilcox,2023,
Jane E. Wilcox,2024,
Jane L. Holl,2013,
Jane L. Holl,2014,
Jane L. Holl,2015,
Jane L. Holl,2016,
Jane L. Holl,2017,
Jane L. Holl,2018,
Jane L. Holl,2019,
Jane L. Holl,2020,
Jane L. Holl,2021,
Jane L. Holl,2022,
Jane L. Holl,2023,
Jason C. Ong,2013,
Jason C. Ong,2014,
Jason C. Ong,2015,
Jason C. Ong,2016,
Jason C. Ong,2017,
Jason C. Ong,2018,
Jason C. Ong,2019,
Jason C. Ong,2020,
Jason C. Ong,2021,
Jason C. Ong,2022,
Jason C. Ong,2023,
Jason Espinoza,2013,
Jason Espinoza,2014,
Jason Espinoza,2015,
Jason Espinoza,2016,
Jason Espinoza,2017,
Jason Espinoza,2018,
Jason Espinoza,2019,
Jason Espinoza,2020,
Jason Espinoza,2021,
Jason Espinoza,2022,
Jason Espinoza,2023,
Jenna Rossoff,2013,
Jenna Rossoff,2014,
Jenna Rossoff,2015,
Jenna Rossoff,2016,
Jenna Rossoff,2017,
Jenna Rossoff,2018,
Jenna Rossoff,2019,
Jenna Rossoff,2020,
Jenna Rossoff,2021,
Jenna Rossoff,2022,
Jenna Rossoff,2023,
Jennifer Donglan Wu,2013,
Jennifer Donglan Wu,2014,
Jennifer Donglan Wu,2015,
